chemical_name,who_class,who_description,ld50_rat_oral_mgkg,who_class_numeric,chemical_name_clean,who_class_valid,is_carcinogen,is_endocrine_disruptor,is_neurotoxin,is_reproductive_toxin,is_pbt,total_hazard_flags,cid,molecularweight,xlogp,tpsa,complexity,hbonddonorcount,hbondacceptorcount,rotatablebondcount,heavyatomcount,charge,name_length,word_count,has_number,has_hyphen,has_parenthesis,special_chars,log_molecularweight,log_ld50,toxicity_weighted
pirimicarb,II,Moderately hazardous,147.0,2,pirimicarb,II,0.0,0.0,0.0,0.0,0.0,0.0,31645.0,238.29,1.7,58.6,270.0,0.0,5.0,3.0,17.0,0.0,10,1,0,0,0,0,5.477676205491225,4.997212273764115,11.058772120302688
imidacloprid,II,Moderately hazardous,450.0,2,imidacloprid,II,0.0,0.0,1.0,0.0,0.0,1.0,86287518.0,255.66,1.2,86.3,319.0,1.0,4.0,2.0,17.0,0.0,12,1,0,0,0,0,5.5477522518163145,6.111467339502679,6.111467339502679
thiamethoxam,II,Moderately hazardous,1563.0,2,thiamethoxam,II,0.0,0.0,1.0,0.0,0.0,1.0,5821911.0,291.72,1.5,115.0,352.0,0.0,6.0,2.0,18.0,0.0,12,1,0,0,0,0,5.679216520710951,7.355001921105257,7.355001921105257
clothianidin,II,Moderately hazardous,5000.0,2,clothianidin,II,0.0,0.0,1.0,0.0,0.0,1.0,39552.5,249.68,1.3,123.0,313.0,2.0,5.0,4.0,15.0,0.0,12,1,0,0,0,0,5.524177225356475,8.517393171418904,8.517393171418904
acetamiprid,II,Moderately hazardous,217.0,2,acetamiprid,II,0.0,0.0,0.0,0.0,0.0,0.0,213021.0,222.67,1.4,52.3,280.0,0.0,3.0,3.0,15.0,0.0,11,1,0,0,0,0,5.410171751322179,5.384495062789089,11.058772120302688
thiacloprid,II,Moderately hazardous,836.0,2,thiacloprid,II,0.0,0.0,0.0,0.0,0.0,0.0,115224.0,252.72,2.2,77.6,324.0,0.0,4.0,2.0,16.0,0.0,11,1,0,0,0,0,5.536231296765696,6.729824070489475,11.058772120302688
mancozeb,U,Unlikely hazardous,11200.0,4,mancozeb,U,0.0,1.0,0.0,1.0,0.0,2.0,3034368.0,541.1,0.5,180.0,108.0,4.0,8.0,6.0,22.0,0.0,8,1,0,0,0,0,6.295450486266293,9.32375833901174,18.64751667802348
chlorothalonil,U,Unlikely hazardous,10000.0,4,chlorothalonil,U,1.0,0.0,0.0,0.0,0.0,1.0,15910.0,265.9,2.9,47.6,284.0,0.0,2.0,0.0,14.0,0.0,14,1,0,0,0,0,5.586874056410478,9.210440366976517,9.210440366976517
propiconazole,II,Moderately hazardous,1517.0,2,propiconazole,II,1.0,1.0,0.0,0.0,0.0,2.0,43234.0,342.2,3.5,49.2,377.0,0.0,4.0,5.0,22.0,0.0,13,1,0,0,0,0,5.838313367613807,7.325148957955575,14.65029791591115
tebuconazole,II,Moderately hazardous,1700.0,2,tebuconazole,II,0.0,0.0,0.0,0.0,0.0,0.0,86102.0,307.82,3.7,50.9,326.0,1.0,3.0,6.0,21.0,0.0,12,1,0,0,0,0,5.732758582892719,7.438971592395862,11.058772120302688
