chemical_name_clean,who_class_valid,molecularweight,xlogp,tpsa,complexity,hbonddonorcount,hbondacceptorcount,rotatablebondcount,heavyatomcount,ld50_rat_oral_mgkg,log_ld50,log_molecularweight,is_carcinogen,is_neurotoxin,is_endocrine_disruptor,is_reproductive_toxin,total_hazard_flags,name_length,word_count,has_number,has_hyphen,special_chars
thiram,III,240.4,1.7,121.0,158.0,0.0,4.0,3.0,12.0,560.0,6.329720905522696,5.486455308663431,0.0,0.0,0.0,0.0,0.0,6,1,0,0,0
carbendazim,U,191.19,1.5,67.0,222.0,2.0,3.0,2.0,14.0,15000.0,9.61587214452889,5.258484466046314,0.0,0.0,1.0,1.0,2.0,11,1,0,0,0
benomyl,U,290.32,2.1,85.3,377.0,2.0,4.0,5.0,21.0,10000.0,9.210440366976517,5.6744223193497145,0.0,0.0,0.0,0.0,0.0,7,1,0,0,0
azoxystrobin,U,403.4,3.7,104.0,646.0,0.0,8.0,8.0,30.0,5000.0,8.517393171418904,6.0024044871463165,0.0,0.0,0.0,0.0,0.0,12,1,0,0,0
atrazine,U,215.68,2.6,62.7,166.0,2.0,5.0,4.0,14.0,1869.0,7.533693709848633,5.378421610789698,0.0,0.0,1.0,1.0,2.0,8,1,0,0,0
24-d,II,302.3,3.5,60.8,313.0,0.0,4.0,4.0,18.0,639.0,6.461468176353717,5.714722414694536,0.0,0.0,0.0,0.0,0.0,4,1,1,1,1
paraquat,IB,186.25,1.7,7.8,145.0,0.0,0.0,1.0,14.0,58.0,4.07753744390572,5.232444622397328,0.0,1.0,0.0,0.0,1.0,8,1,0,0,0
metolachlor,III,283.79,3.1,29.5,285.0,0.0,2.0,6.0,19.0,2780.0,7.930565854233965,5.651752066561817,0.0,0.0,0.0,0.0,0.0,11,1,0,0,0
alachlor,III,269.77,3.5,29.5,248.0,0.0,2.0,6.0,18.0,930.0,6.836259277277067,5.601269752035662,0.0,0.0,0.0,0.0,0.0,8,1,0,0,0
pendimethalin,II,281.31,5.2,104.0,313.0,1.0,5.0,4.0,20.0,1050.0,6.957497370876951,5.64300575794059,0.0,0.0,0.0,0.0,0.0,13,1,0,0,0
trifluralin,III,335.28,5.3,94.9,392.0,0.0,8.0,5.0,23.0,5000.0,8.517393171418904,5.817944146267096,0.0,0.0,0.0,0.0,0.0,11,1,0,0,0
dicamba,II,221.03,2.2,46.5,198.0,1.0,3.0,2.0,13.0,757.0,6.630683385642372,5.402812507877485,0.0,0.0,0.0,0.0,0.0,7,1,0,0,0
brodifacoum,IA,523.4,7.6,46.5,791.0,1.0,3.0,3.0,35.0,0.3,0.262364264467491,6.262254751889545,0.0,0.0,0.0,1.0,2.0,11,1,0,0,0
bromadiolone,IA,527.4,6.1,66.8,743.0,2.0,4.0,6.0,35.0,1.1,0.7419373447293773,6.26985357264817,0.0,0.0,0.0,0.0,0.0,12,1,0,0,0
zinc phosphide,IB,258.1,3.5,0.0,0.0,0.0,2.0,0.0,5.0,40.0,3.713572066704308,5.557214087568064,0.0,0.0,0.0,0.0,0.0,14,2,0,0,1
methyl bromide,IB,94.94,1.0,0.0,2.0,0.0,0.0,0.0,2.0,358.0,5.883322388488279,4.563722996073918,0.0,0.0,0.0,0.0,0.0,14,2,0,0,1
aluminium phosphide,IA,57.9553,3.5,0.0,0.0,0.0,1.0,0.0,2.0,11.0,2.4849066497880004,4.076779529642608,0.0,0.0,0.0,0.0,0.0,19,2,0,0,1
abamectin,IB,1732.1,4.4,340.0,3430.0,6.0,28.0,15.0,123.0,10.0,2.3978952727983707,7.457666991455329,0.0,1.0,0.0,0.0,1.0,9,1,0,0,0
