cid,molecularformula,molecularweight,smiles,inchikey,iupacname,xlogp,tpsa,complexity,hbonddonorcount,hbondacceptorcount,rotatablebondcount,heavyatomcount,query_name,charge,xlogp_source
3589.0,C10H5Cl7,373.3,C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,FRCCEHPWNOQAEU-UHFFFAOYSA-N,"1,5,7,8,9,10,10-heptachlorotricyclo[5.2.1.02,6]deca-3,8-diene",4.3,0.0,467.0,0.0,0.0,0.0,17.0,heptachlor,,pubchem
16945.0,C10Cl12,545.5,C12(C3(C4(C5(C3(C(C1(C5(C2(C4(Cl)Cl)Cl)Cl)Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl,GVYLCNUFSHDAAW-UHFFFAOYSA-N,"1,2,3,4,5,5,6,7,8,9,10,10-dodecachloropentacyclo[5.3.0.02,6.03,9.04,8]decane",5.3,0.0,567.0,0.0,0.0,0.0,22.0,mirex,,pubchem
,C10H8Cl8,411.8,,OEJNXTAZZBRGDN-UHFFFAOYSA-N,"1,4,5,6,7,7-hexachloro-2,2-bis(chloromethyl)-3-methylidenebicyclo[2.2.1]heptane",4.7,0.0,,0.0,0.0,2.0,18.0,toxaphene,0.0,pubchem
2566.0,C12H15NO3,221.25,CC1(CC2=C(O1)C(=CC=C2)OC(=O)NC)C,DUEPRVBVGDRKAG-UHFFFAOYSA-N,"(2,2-dimethyl-3H-1-benzofuran-7-yl) N-methylcarbamate",2.3,47.6,277.0,1.0,3.0,2.0,16.0,carbofuran,,pubchem
6129.0,C12H11NO2,201.22,CNC(=O)OC1=CC=CC2=CC=CC=C21,CVXBEEMKQHEXEN-UHFFFAOYSA-N,naphthalen-1-yl N-methylcarbamate,2.4,38.3,230.0,1.0,2.0,2.0,15.0,carbaryl,,pubchem
4109.0,C5H10N2O2S,162.21,CC(=NOC(=O)NC)SC,UHXUZOCRWCRNSJ-UHFFFAOYSA-N,methyl N-(methylcarbamoyloxy)ethanimidothioate,0.6,76.0,147.0,1.0,4.0,3.0,10.0,methomyl,,pubchem
9570071.0,C7H14N2O2S,190.27,CC(C)(/C=N/OC(=O)NC)SC,QGLZXHRNAYXIBU-WEVVVXLNSA-N,[(E)-(2-methyl-2-methylsulfanylpropylidene)amino] N-methylcarbamate,1.1,76.0,180.0,1.0,4.0,4.0,12.0,aldicarb,,pubchem
31657.0,C7H13N3O3S,219.26,CNC(=O)ON=C(C(=O)N(C)C)SC,KZAUOCCYDRDERY-UHFFFAOYSA-N,methyl 2-(dimethylamino)-N-(methylcarbamoyloxy)-2-oxoethanimidothioate,-0.5,96.3,253.0,1.0,5.0,4.0,14.0,oxamyl,,pubchem
31645.0,C11H18N4O2,238.29,CC1=C(N=C(N=C1OC(=O)N(C)C)N(C)C)C,YFGYUFNIOHWBOB-UHFFFAOYSA-N,"[2-(dimethylamino)-5,6-dimethylpyrimidin-4-yl] N,N-dimethylcarbamate",1.7,58.6,270.0,0.0,5.0,3.0,17.0,pirimicarb,,pubchem
19588.0,C12H17NO2,207.27,CCC(C)C1=CC=CC=C1OC(=O)NC,DIRFUJHNVNOBMY-UHFFFAOYSA-N,(2-butan-2-ylphenyl) N-methylcarbamate,2.8,38.3,206.0,1.0,2.0,4.0,15.0,fenobucarb,,pubchem
2314.0,C11H13NO4,223.22,CC1(OC2=C(O1)C(=CC=C2)OC(=O)NC)C,XEGGRYVFLWGFHI-UHFFFAOYSA-N,"(2,2-dimethyl-1,3-benzodioxol-4-yl) N-methylcarbamate",1.7,56.8,279.0,1.0,4.0,2.0,16.0,bendiocarb,,pubchem
86287518.0,C9H10ClN5O2,255.66,C1CN(/C(=N/[N+](=O)[O-])/N1)CC2=CN=C(C=C2)Cl,YWTYJOPNNQFBPC-UHFFFAOYSA-N,(NE)-N-[1-[(6-chloro-3-pyridinyl)methyl]imidazolidin-2-ylidene]nitramide,1.2,86.3,319.0,1.0,4.0,2.0,17.0,imidacloprid,,pubchem
5821911.0,C8H10ClN5O3S,291.72,CN\1COCN(/C1=N/[N+](=O)[O-])CC2=CN=C(S2)Cl,NWWZPOKUUAIXIW-DHZHZOJOSA-N,"(NE)-N-[3-[(2-chloro-1,3-thiazol-5-yl)methyl]-5-methyl-1,3,5-oxadiazinan-4-ylidene]nitramide",1.5,115.0,352.0,0.0,6.0,2.0,18.0,thiamethoxam,,pubchem
,C6H8ClN5O2S,249.68,,PGOOBECODWQEAB-UHFFFAOYSA-N,"1-[(2-chloro-1,3-thiazol-5-yl)methyl]-3-methyl-2-nitroguanidine",1.3,123.0,,2.0,5.0,4.0,15.0,clothianidin,0.0,pubchem
213021.0,C10H11ClN4,222.67,CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl,WCXDHFDTOYPNIE-UHFFFAOYSA-N,N-[(6-chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,1.4,52.3,280.0,0.0,3.0,3.0,15.0,acetamiprid,,pubchem
197701.0,C7H14N4O3,202.21,CN=C(NCC1CCOC1)N[N+](=O)[O-],YKBZOVFACRVRJN-UHFFFAOYSA-N,2-methyl-1-nitro-3-(oxolan-3-ylmethyl)guanidine,0.0,91.5,225.0,2.0,4.0,4.0,14.0,dinotefuran,,pubchem
